Seq	Clump	VLSR	DV	e_DV	taumain	e_taumain	Tex	e_Tex	Trot	e_Trot	Tkin	e_Tkin	Bff	logN(NH3)	<logN(NH3)>	log(N(NH3)/N(H2))	<log(N(NH3)/N(H2))>	Notes	Simbad
15	G013.873+00.280	 49.1	 2.7	 2.4	 1.3	 0.8	 4.3	 4.6	20.5	20.7	23.6	23.9	 0.22	14.75	14.56	-8.32	-8.15	 	Simbad
16	G014.328-00.646	 22.9	 2.8	 2.0	 3.0	 2.4	 8.4	 5.2	18.4	15.0	20.7	16.2	 0.35	15.40	14.84	-7.70	-7.30	2	Simbad
17	G014.428-00.697	 17.8	 1.5	 1.7	 1.1	 1.2	 5.9	 4.6	17.4	16.7	19.4	18.4	 0.27	14.53	14.47	-7.88	-7.95	 	Simbad
18	G014.608+00.014	 25.6	 3.5	 3.1	 4.0	 3.6	 4.5	 3.6	17.8	16.9	19.9	18.6	 0.21	15.36	15.07	-7.43	-7.31	2	Simbad
18	G014.625+00.001	 26.1	 0.8	 0.9	 4.3	 4.3	 4.0	 3.8	12.2	12.3	12.8	12.9	 0.31	14.67	14.66	     	     	 	Simbad
19	G016.714+01.312	 20.9	 1.0	 1.0	 1.8	 1.8	 5.6	 4.8	14.1	14.2	15.1	15.2	 0.34	14.51	14.45	-7.78	-7.70	 	Simbad
20	G016.804+00.812	 20.1	 0.6	 0.7	 3.1	 3.2	 4.9	 4.2	12.3	12.2	12.9	12.8	 0.34	14.46	14.46	-7.52	-7.32	 	Simbad
21	G016.924+00.955	 21.1	 1.8	 1.4	 3.0	 2.6	 7.2	 5.0	16.2	13.8	17.7	14.7	 0.36	15.10	14.77	-7.73	-7.58	1	Simbad
22	G017.444+00.808	 21.6	 1.4	 1.5	 2.4	 2.4	 3.8	 3.5	16.3	16.4	17.9	18.1	 0.22	14.68	14.65	-7.82	-7.77	 	Simbad
23	G017.632+00.157	 22.5	 1.9	 1.7	 1.9	 1.8	 6.3	 4.9	18.3	18.2	20.6	20.4	 0.27	14.90	14.71	-7.86	-7.80	 	Simbad
23	G017.652+00.174	 23.1	 1.0	 1.1	 3.5	 3.2	 4.7	 4.0	14.2	13.8	15.2	14.7	 0.29	14.75	14.68	-7.66	-7.57	 	Simbad
24	G018.301-00.385	 33.2	 1.8	 1.8	 2.7	 2.4	 6.2	 4.3	18.4	17.9	20.6	19.9	 0.24	15.03	14.85	-7.76	-7.71	 	Simbad
25	G018.459-00.002	 52.9	 3.2	 2.7	 3.8	 3.8	 4.1	 3.5	17.5	15.6	19.5	17.0	 0.23	15.27	15.12	-7.66	-7.43	1	Simbad
26	G018.566-00.090	 46.2	 1.2	 1.3	 4.3	 4.3	 4.2	 3.8	13.6	13.1	14.5	13.9	 0.29	14.87	14.84	-7.17	-6.99	 	Simbad
26	G018.606-00.075	 46.2	 2.0	 2.0	 4.8	 3.8	 5.2	 4.0	15.0	13.7	16.2	14.6	 0.29	15.21	15.00	-7.33	-7.12	2	Simbad
26	G018.649-00.061	 45.5	 1.4	 1.4	 5.3	 4.6	 4.7	 4.2	16.0	15.1	17.5	16.3	 0.28	15.08	14.89	-7.58	-7.47	 	Simbad
27	G018.662+00.032	 81.0	 2.7	 2.3	 4.1	 3.9	 4.1	 3.5	16.2	15.4	17.8	16.8	 0.23	15.21	15.04	-7.49	-7.23	1	Simbad
28	G018.828-00.483	 65.9	 1.8	 2.1	 5.4	 3.3	 7.8	 5.0	15.4	15.5	16.7	16.8	 0.32	15.39	15.04	     	     	 	Simbad
