 0.11	 0.03	 0.89	 0.21
 0.11	 0.05	 0.85	 0.59
 0.18	 0.04	 0.85	 0.17
 0.29	 0.04	 1.36	 0.08
 0.22	 0.04	 0.42	 0.08
 0.11	 0.03	 0.68	 0.13
 0.11	 0.02	 0.72	 0.13
 0.13	 0.06	 0.93	 0.22
 0.11	 0.01	 0.57	 0.08
 0.11	 0.04	 0.92	 0.08
 0.16	 0.02	 1.25	 0.12
 0.19	 0.04	 0.59	 0.23
 0.18	 0.04	 1.00	 0.13
 0.11	 0.04	 0.75	 0.23
 0.11	 0.04	 0.43	 0.13
 0.11	 0.07	 1.59	 0.30
 0.11	 0.05	 0.81	 0.21
 0.15	 0.04	 0.65	 0.06
 0.27	 0.06	 0.55	 0.04
 0.22	 0.06	 0.62	 0.08
 0.41	 0.08	 0.93	 0.06
 0.25	 0.08	 0.85	 0.13
 0.11	 0.06	 1.04	 0.04
 0.11	 0.05	 1.27	 0.30
 0.11	 0.05	 0.85	 0.04
 0.28	 0.04	 0.79	 0.04
 0.11	 0.03	 1.27	 0.25
 0.10	 0.04	 0.88	 0.04
 0.14	 0.08	 2.35	 0.85
 0.11	 0.04	 0.51	 0.04
 0.17	 0.08	 1.27	 0.30
 0.33	 0.14	 1.10	 0.30
 0.36	 0.16	 1.10	 0.21
 0.21	 0.07	 1.15	 0.15
 0.25	 0.14	 1.10	 0.21
 0.11	 0.03	 0.85	 0.42
 0.19	 0.06	 1.21	 0.08
 0.11	 0.04	 1.27	 0.21
 0.28	 0.09	 1.21	 0.06
 0.32	 0.10	 1.78	 0.17
 0.26	 0.06	 0.98	 0.11
 0.33	 0.09	 1.70	 0.42
 0.11	 0.04	 1.91	 0.42
 0.38	 0.08	 1.10	 0.08
 0.22	 0.06	 1.06	 0.30
 0.35	 0.10	 1.06	 0.30
 0.13	 0.07	 1.02	 0.17
 0.35	 0.07	 0.98	 0.13
 0.24	 0.06	 1.49	 0.17
 0.39	 0.08	 1.15	 0.13
 0.40	 0.07	 1.15	 0.17
 0.53	 0.09	 1.70	 0.21
 0.39	 0.10	 1.70	 0.21
 0.41	 0.10	 1.91	 0.08
 0.36	 0.10	 1.59	 0.08
 0.11	 0.08	 1.49	 0.64
 0.11	 0.03	 0.89	 0.08
 0.11	 0.03	 0.54	 0.06
 0.39	 0.08	 1.91	 0.17
 0.30	 0.15	 2.76	 0.85
 0.30	 0.04	 2.76	 0.85
 0.08	 0.07	 0.64	 0.42
 0.24	 0.04	 1.91	 0.21
 0.11	 0.04	 0.98	 0.13
 0.33	 0.11	 2.59	 0.17
 0.23	 0.09	 0.66	 0.06
 0.35	 0.07	 1.47	 0.06
 0.11	 0.05	 0.65	 0.04
 0.16	 0.10	 0.85	 0.21
 0.16	 0.15	 0.55	 0.13
 0.11	 0.10	 1.15	 0.17
 0.49	 0.12	 2.89	 0.08
 0.65	 0.13	 1.94	 0.08
 0.61	 0.18	 2.55	 0.85
 0.07	 0.04	 3.18	 0.85
 0.11	 0.05	 0.62	 0.08
 0.11	 0.05	 0.85	 0.34
 0.27	 0.06	 1.19	 0.17
 0.47	 0.10	 0.89	 0.04
 0.37	 0.08	 1.17	 0.08
 0.34	 0.07	 1.74	 0.06
 0.11	 0.04	 2.63	 0.30
 0.11	 0.05	 2.89	 0.30
 0.11	 0.10	 1.40	 0.08
 0.44	 0.11	 1.26	 0.04
 0.35	 0.10	 1.36	 0.13
 0.28	 0.11	 2.25	 0.21
 0.11	 0.09	 2.32	 0.21
 0.28	 0.11	 1.70	 0.17
 0.14	 0.09	 2.87	 0.21
 0.11	 0.05	 1.87	 0.13
 0.11	 0.05	 0.55	 0.13
 0.11	 0.03	 1.23	 0.13
 0.17	 0.06	 1.70	 0.06
 0.11	 0.07	 0.79	 0.06
 0.11	 0.10	 1.06	 0.21
 0.11	 0.07	 2.12	 0.25
 0.52	 0.12	 1.08	 0.06
 0.32	 0.11	 0.68	 0.11
 0.11	 0.04	 0.64	 0.13
 0.11	 0.04	 0.76	 0.04
 0.11	 0.04	 0.56	 0.00
 0.11	 0.03	 0.76	 0.04
