B1	0.04	0.67
B2	0.08	1.18
B3	0.09	1.08
B4	0.12	0.77
B5	0.04	0.98
B6	0.10	0.77
B7	0.09	0.67
B8	0.09	0.57
B9	0.07	0.57
A1	0.09	1.18
A2	0.10	0.87
A3	0.09	0.77
A4	0.10	0.87
A5	0.04	0.97
A6	0.08	1.47
A7	0.12	0.87
A8	0.09	1.38
A9	0.09	0.98
A10	0.20	0.73
A12	0.04	0.88
A13	0.05	0.66
A14	0.05	0.88
A15	0.17	1.09
