l,b,Linear Size (pc),sigma (km/s)
12.266,-0.053,3.3579314185312352,0.923542178521
12.266,-0.141,2.718751878073535,0.3407117848
12.295,-0.12,1.704277187082993,0.391254006051
12.312,-0.135,3.0987940152296876,0.274316318632
12.329,-0.144,1.7009567213119714,0.265155046568
12.345,-0.222,2.183867496597373,0.412373648667
12.364,-0.186,0.8508836723957441,0.466065494808
12.374,-0.05,10.32761721807158,0.304154565931
12.377,0.005,3.764231981439524,0.506293671398
12.416,0.116,0.9462505934329953,0.749214438685
12.433,-0.056,12.068061561559594,0.521945210362
12.438,-0.397,0.4625001448173762,0.480829622426
12.447,-0.169,10.056804826391947,0.456463660737
12.459,-0.128,0.5679372583746496,0.258514423011
12.463,0.092,2.2076604730275733,0.559550226836
12.485,0.171,1.1950642246013226,0.693000059652
12.486,-0.376,0.8082777283741686,0.259558945923
12.487,0.013,1.0017053756128205,0.262103929409
12.507,-0.09,10.839635754160795,0.323426310858
12.521,-0.355,0.9563700742216891,0.304979860791
12.521,-0.323,0.6212072534856379,0.190080835892
12.528,0.016,3.8536707197143185,0.696330177938
12.531,-0.309,7.827597436581079,0.363886277553
12.538,-0.369,1.4689314507221742,0.228571523566
12.552,-0.007,1.2113890266273974,0.54074219613
12.554,-0.104,1.2866470540467756,0.660535240446
12.567,-0.121,3.7566173472696547,0.414966104203
12.572,-0.083,1.0141603006987487,0.310696992699
12.604,-0.116,2.5922130506484544,0.606985227952
12.612,0.115,1.2965693477639382,0.689665937171
12.613,-0.132,0.858302883592165,0.390852806742
12.62,0.04,0.7207115025620625,0.717885727739
12.627,-0.019,24.28924136501867,0.615687776753
12.628,-0.124,0.7912166675318558,0.543387355385
12.63,-0.056,0.9633069243019861,0.47296744234
12.647,-0.326,1.2149289163151036,0.243418305564
12.647,0.094,3.8451614772624394,0.540930825237
12.654,-0.04,1.0325434441993557,0.372636392701
12.67,-0.206,1.5099064665348558,0.879972886948
12.677,0.091,4.700816472453169,0.497098249454
