RAMPS l,RAMPS b,RMS l,RMS b,Separation (deg),RMS Dispersion (km/s),RMS Size (pc),RAMPS Dispersion (km/s),RAMPS Size (pc)
10.272,-0.126,10.283,-0.118,36.99272100223052,1.019186160345623,0.31784385,1.00721966074,1.1654606868935338
10.319,-0.149,10.323,-0.165,36.95334939814466,0.7219235302448161,0.23358323,0.902078736479,52.54438959846208
10.36,-0.144,10.346,-0.148,36.930119555539186,0.7643896202592172,0.14825602,1.09653248252,2.783081452684052
10.308,-0.264,10.3,-0.271,36.97794389122191,2.038372320691246,0.35294436,1.12043964567,2.911683160094833
10.323,-0.23,10.322,-0.229,36.955282811689415,0.806855710273618,0.34130883,0.662196483455,1.5481864064634945
10.443,-0.001,10.44,0.003,36.83435672501079,1.571245330532835,0.31318964,1.12670587964,5.636318367306727
10.475,0.029,10.474,0.028,36.80011616088839,2.463033220835255,0.935448,1.54744533796,7.407488657434128
11.912,-0.144,11.904,-0.142,35.37218815408799,1.5287792405184344,1.37144094,1.08223991071,3.880584464534137
13.191,-0.104,13.185,-0.106,34.090818416430636,0.8493218002880191,0.49063145,0.724059179573,4.434374151679185
13.203,-0.139,13.202,-0.137,34.07425034792139,0.7219235302448161,0.41257644,0.873448830096,3.367770320980719
13.342,-0.041,13.332,-0.039,33.94298360325511,0.6369913502160143,0.45800348,0.537829194076,7.359974043138574
13.869,0.279,13.873,0.28,33.39955009813905,1.1465844303888255,0.42663604,0.839999878789,2.670459007972069
14.612,0.011,14.608,0.014,32.666466545921836,1.4863131505040337,0.35008396,0.770498789663,18.712828351931297
17.645,0.16,17.632,0.157,29.641291903458132,0.806855710273618,0.20798507,0.579977693248,18.55907758624188
18.303,-0.387,18.301,-0.385,28.980996809246076,0.7643896202592172,0.28070712,0.733254854647,2.8646261460616587
18.46,-0.005,18.459,-0.002,28.815913261538327,1.3589148804608306,1.57215381,0.893986434146,5.662988331006824
18.612,-0.072,18.606,-0.075,28.669930827674378,0.8493218002880191,0.66729755,0.585059296596,35.53362898124985
18.661,0.033,18.662,0.032,28.6125181815228,1.1465844303888255,1.0262536,0.759602822448,9.543905837846678
19.081,-0.29,19.08,-0.29,28.200002095825912,0.89178789030242,0.46469391,0.83794823809,3.7393081088758624
19.772,-0.114,19.769,-0.115,27.507715818779182,0.5945252602016133,0.34189061,0.474625862279,2.505793887417111
19.926,-0.256,19.925,-0.258,27.354512311530623,1.1465844303888255,0.33815754,0.647579796046,4.289420832794781
20.732,-0.059,20.73,-0.059,26.545935030507103,1.4438470604896323,0.23823744,1.1565603308,2.897181562874183
20.75,-0.096,20.749,-0.092,26.527469353522342,1.189050520403227,0.23823744,0.996520681372,3.129321477154668
20.773,-0.043,20.782,-0.049,26.49378745917885,0.934253980316821,0.63529985,0.934563367667,4.326899776506095
21.382,-0.246,21.387,-0.251,25.89273431648593,0.934253980316821,0.93379963,0.794459042388,9.320290699763984
22.351,0.07,22.352,0.068,24.9223506038347,0.7219235302448161,0.40084395,0.662575936006,3.183224182901176
23.709,0.175,23.712,0.17,23.561399368815604,1.4013809704752314,0.83383105,0.818109908103,10.918781304806936
24.137,0.125,24.143,0.129,23.130794203345122,0.5520591701872124,0.3445086,0.338098918881,1.4891859682931126
24.158,0.086,24.161,0.085,23.113277562195613,0.5095930801728115,0.3905659,0.415729151571,3.011644532579199
24.169,0.124,24.183,0.122,23.09086784004366,0.7219235302448161,0.21923275,0.571916675889,8.464277331383212
25.713,0.041,25.711,0.045,21.56393585687612,0.934253980316821,0.22568077,0.895439023304,3.134619049642138
25.839,-0.183,25.826,-0.178,21.453278262065677,1.2315166104176276,0.2763438,0.62611023498,9.750727102034643
28.202,-0.052,28.203,-0.049,19.073967891224562,1.2315166104176276,0.68077537,0.762279775029,15.66506647131254
30.857,0.041,30.857,0.04,16.418720438389986,0.5095930801728115,0.18054461,0.476426113741,1.7271203005783065
30.869,0.053,30.876,0.061,16.399338874842428,0.6794574402304153,0.48461976,0.536772967907,6.703885218432228
31.271,0.06,31.281,0.06,15.9944223260517,1.698643600576038,0.66516437,1.03343937918,9.204494895252498
31.281,0.084,31.288,0.083,15.987020838872587,0.5520591701872124,0.4584883,0.467583510307,5.352245499664785
31.407,0.31,31.413,0.306,15.859790063693335,1.78357578060484,0.93123012,0.885673538115,9.755464791957689
33.403,-0.004,33.39,0.002,13.887151823954008,1.3589148804608306,1.2942586,0.900789074186,9.606548050051716
33.915,0.108,33.918,0.107,13.35700657734295,1.019186160345623,0.7228572,0.863818131375,5.447245407763797
34.413,0.232,34.411,0.233,12.862321278003263,1.061652250360024,0.77560493,0.646700029613,38.13203479593327
35.457,0.141,35.463,0.144,11.811596376481678,0.934253980316821,1.62121695,0.582669774209,7.640084564711375
37.554,0.193,37.555,0.201,9.71895370293881,0.89178789030242,0.84779368,0.763096078637,5.915864310932844
43.313,-0.21,43.306,-0.211,4.005755854669682,0.7643896202592172,0.40103788,0.578882122786,8.47756714209023
45.464,0.046,45.467,0.046,1.8305713919137052,1.5287792405184344,1.27331465,1.10788480868,10.80587487044296
