theta_maj	theta_min	sigma	V_LSR	d1	l	b	T_peak
2.184097601352318119e+00 1.771954101574930718e+00 4.610487097739999762e-01 8.149329958270000418e+01 4.360000000000000320e+00 2.808999999999999986e+01 7.099999999999999367e-02 2.187090873718261719e+00
7.614988221734313445e-01 5.385727025330255824e-01 3.949328758669999884e-01 9.073460038499999314e+01 4.429999999999999716e+00 2.810300000000000153e+01 2.079999999999999905e-01 6.292344331741333008e-01
1.044066891655465179e+00 7.279879657749543931e-01 6.766001619920000154e-01 7.468908947660000308e+01 4.309999999999999609e+00 2.810500000000000043e+01 8.400000000000000522e-02 8.201376199722290039e-01
1.019750894215357917e+00 7.280668210629449577e-01 3.319995926889999782e-01 8.964940868310000610e+01 4.500000000000000000e+00 2.812900000000000134e+01 1.880000000000000004e-01 7.804087400436401367e-01
2.828287418960964139e+00 8.062731878219864257e-01 6.422352539679999639e-01 3.510367957129999894e+01 1.969999999999999973e+00 2.813400000000000034e+01 3.220000000000000084e-01 5.867026448249816895e-01
1.979618870515162055e+00 4.243275052333333464e-01 5.997156294130000509e-01 7.251317373269999678e+01 4.299999999999999822e+00 2.814300000000000068e+01 1.970000000000000084e-01 5.416768193244934082e-01
3.101612241984373686e+00 1.204159699974698183e+00 7.108062570700000027e-01 9.851186930849999612e+01 8.240000000000000213e+00 2.814900000000000091e+01 -4.000000000000000083e-03 2.155479431152343750e+00
1.523292819964310540e+00 1.076944724314408131e+00 5.434031626830000405e-01 8.989020696699999746e+01 4.509999999999999787e+00 2.815299999999999869e+01 1.700000000000000122e-01 1.821649909019470215e+00
1.360077730808527896e+00 9.487371498786811852e-01 4.033359814790000164e-01 7.753082696910000493e+01 4.330000000000000071e+00 2.815700000000000003e+01 -1.239999999999999991e-01 1.403128862380981445e+00
1.118027781174768531e+00 2.236096337981773874e-01 6.983009612530000076e-01 4.567761993109999707e+01 1.082000000000000028e+01 2.815800000000000125e+01 -2.100000000000000130e-02 7.898351550102233887e-01
8.601693230543593360e-01 5.657309390867247822e-01 3.594895453060000245e-01 9.243294618139999841e+01 8.259999999999999787e+00 2.815800000000000125e+01 1.079999999999999988e-01 6.309326887130737305e-01
8.485744806667174789e-01 4.242410045233332982e-01 8.309492328099999936e-01 7.719157891380000081e+01 4.320000000000000284e+00 2.817200000000000060e+01 7.499999999999999722e-02 4.906448721885681152e-01
1.526660053392870919e+00 1.081511964193353936e+00 3.598427033180000012e-01 1.011561981400000008e+02 8.179999999999999716e+00 2.817299999999999827e+01 -2.169999999999999984e-01 5.464347600936889648e-01
9.433687081825066212e-01 8.062501474858020378e-01 3.128209087450000148e-01 1.063181990350000063e+02 8.210000000000000853e+00 2.818299999999999983e+01 -4.800000000000000100e-02 8.257369399070739746e-01
8.944223868031619951e-01 5.830989682618507031e-01 3.839720979039999982e-01 1.085172720519999956e+02 6.019999999999999574e+00 2.818799999999999883e+01 1.000000000000000021e-02 8.627749085426330566e-01
1.711789986732664248e+00 4.122832746973339457e-01 6.292442299799999583e-01 7.827164834129999349e+01 4.330000000000000071e+00 2.819500000000000028e+01 -1.930000000000000049e-01 1.090504050254821777e+00
6.543442487956999898e+00 1.640181604189519415e+00 7.622797750290000174e-01 9.698517920230000300e+01 8.230000000000000426e+00 2.820200000000000173e+01 -5.199999999999999761e-02 3.157032728195190430e+00
4.404538606021551672e+00 1.702940111383333344e+00 3.803247063140000050e-01 7.770848990410000567e+01 4.309999999999999609e+00 2.821499999999999986e+01 1.400000000000000029e-02 1.743872284889221191e+00
1.063181476717468321e+00 4.999278318476026994e-01 4.843073758979999921e-01 1.002925602269999956e+02 5.669999999999999929e+00 2.821699999999999875e+01 2.099999999999999922e-01 4.209868311882019043e-01
1.780170225195619738e+00 4.472745875551113470e-01 5.113678329380000331e-01 8.933995530480000014e+01 4.490000000000000213e+00 2.822599999999999909e+01 2.190000000000000002e-01 7.013252377510070801e-01
1.044031005951267188e+00 6.082762530936568490e-01 3.913389731549999917e-01 1.071927800640000044e+02 8.210000000000000853e+00 2.823300000000000054e+01 0.000000000000000000e+00 1.377726912498474121e+00
1.486781873574148705e+00 5.384520420503798865e-01 3.404304085309999839e-01 8.726524244569999667e+01 4.459999999999999964e+00 2.823699999999999832e+01 2.349999999999999867e-01 4.582058489322662354e-01
4.614299651798744684e+00 1.166141920089433404e+00 5.816888126650000546e-01 1.073111576889999981e+02 8.210000000000000853e+00 2.824299999999999855e+01 5.999999999999999778e-02 5.112534165382385254e-01
1.565191287936352094e+00 1.000000563648333340e-01 1.360584747779999937e+00 7.954651666389999320e+01 4.349999999999999645e+00 2.824399999999999977e+01 5.500000000000000028e-02 6.446001529693603516e-01
1.216548356832762190e+00 1.000000030568333337e-01 3.877357662620000145e-01 1.064646320690000039e+02 8.210000000000000853e+00 2.825400000000000134e+01 1.499999999999999944e-02 9.857842922210693359e-01
5.742223306116182258e+00 1.220789997281437556e+00 8.027508056400000092e-01 8.049722736980000093e+01 4.370000000000000107e+00 2.827799999999999869e+01 -1.610000000000000042e-01 2.352650880813598633e+00
2.353719246827920220e+00 1.334167870102199283e+00 6.884780267169999801e-01 4.587268411680000213e+01 1.080000000000000071e+01 2.829100000000000037e+01 -2.000000000000000042e-03 1.012808322906494141e+00
9.486464592670377227e-01 8.544377118071787569e-01 5.459805310690000191e-01 8.034509254389999455e+01 4.360000000000000320e+00 2.829299999999999926e+01 8.599999999999999312e-02 6.179534196853637695e-01
3.467075060413308485e+00 4.472022401416327342e-01 4.682376724010000046e-01 7.796176126599999634e+01 4.339999999999999858e+00 2.829599999999999937e+01 3.799999999999999906e-02 3.373045027256011963e-01
2.972958029779832589e+00 9.487659233024247074e-01 3.903566032029999744e-01 7.457982837929999675e+01 4.309999999999999609e+00 2.829700000000000060e+01 -1.829999999999999960e-01 7.629328966140747070e-01
9.219282528600062365e-01 5.657014498554711057e-01 7.182039945089999655e-01 9.914806355829999518e+01 8.189999999999999503e+00 2.831700000000000017e+01 -3.699999999999999817e-02 5.268950462341308594e-01
2.039455637807981336e+00 8.247108332133332720e-01 4.322482186780000069e-01 7.169644594919999747e+01 4.299999999999999822e+00 2.832000000000000028e+01 -3.049999999999999933e-01 1.650972604751586914e+00
2.022380106250450726e+00 1.315290669219450592e+00 6.367363127949999813e-01 9.972397017950000020e+01 8.199999999999999289e+00 2.832199999999999918e+01 -1.200000000000000025e-02 2.192277908325195312e+00
8.945138931366443114e-01 3.605158464976682686e-01 8.322830594929999659e-01 2.561951186570000161e+01 1.255000000000000071e+01 2.832300000000000040e+01 1.570000000000000007e-01 4.048480987548828125e-01
1.389258113333960099e+00 1.081654107420616295e+00 5.639211698689999830e-01 1.003756791149999970e+02 8.189999999999999503e+00 2.832499999999999929e+01 1.400000000000000029e-02 8.383395075798034668e-01
1.640074276654970964e+00 1.140211784589585831e+00 6.592459373889999474e-01 3.500535848730000055e+01 1.234999999999999964e+01 2.832999999999999829e+01 -4.200000000000000261e-02 1.217176318168640137e+00
1.431772134326322332e+00 6.324620295764663558e-01 2.939238422239999760e-01 7.524045325699999864e+01 4.320000000000000284e+00 2.833899999999999864e+01 2.400000000000000050e-02 3.159690499305725098e-01
1.676456725811867443e+00 9.485990377330373313e-01 5.317886990589999474e-01 1.015813119120000039e+02 5.620000000000000107e+00 2.835200000000000031e+01 1.970000000000000084e-01 1.181234836578369141e+00
1.421456707343552228e+00 8.601260512689318238e-01 3.416008601239999831e-01 9.826832675110000537e+01 8.179999999999999716e+00 2.835999999999999943e+01 1.769999999999999907e-01 5.552845597267150879e-01
1.392761198436892389e+00 6.708662265138312097e-01 2.919438100289999949e-01 1.039154982379999979e+02 8.160000000000000142e+00 2.836199999999999832e+01 -1.120000000000000023e-01 8.917358517646789551e-01
9.633908665722705322e+00 7.581706953654662406e+00 7.368011476989999586e-01 7.993009506880000004e+01 4.370000000000000107e+00 2.836599999999999966e+01 7.499999999999999722e-02 1.475058794021606445e+00
1.019740799790561203e+00 4.123444403013570292e-01 6.645134913060000148e-01 7.063013828309999553e+01 4.299999999999999822e+00 2.836899999999999977e+01 -2.109999999999999931e-01 5.287082791328430176e-01
