theta_maj	theta_min	sigma	V_LSR	d1	l	b	T_peak
1.000100402671872502e+00 4.999513311952351602e-01 3.079706502660000123e-01 8.181084861499999761e+01 4.419999999999999929e+00 2.878600000000000136e+01 1.260000000000000009e-01 5.232117772102355957e-01
1.000112166015178161e+00 6.402409901626314737e-01 3.189819045730000191e-01 5.267273665009999917e+01 1.073000000000000043e+01 2.879299999999999926e+01 1.390000000000000124e-01 8.499124646186828613e-01
1.655284090556521370e+00 8.544054014234065964e-01 2.773455735279999890e-01 8.059770948930000145e+01 4.400000000000000355e+00 2.879400000000000048e+01 -1.099999999999999936e-02 8.521686792373657227e-01
8.483866845527550105e-01 2.828916973733333617e-01 7.977318885399999893e-01 1.071259669389999942e+02 8.029999999999999361e+00 2.879700000000000060e+01 2.049999999999999878e-01 5.871773362159729004e-01
1.726257180338811370e+00 1.236941726625625515e+00 7.236915369369999462e-01 1.005437273849999968e+02 8.060000000000000497e+00 2.880600000000000094e+01 -2.199999999999999872e-02 1.137055039405822754e+00
1.476530295606405474e+00 1.029528139964721589e+00 6.074626895029999751e-01 4.943203817559999891e+01 1.073000000000000043e+01 2.880699999999999861e+01 4.700000000000000011e-02 9.658856391906738281e-01
1.345605609216218079e+00 5.655871356262344163e-01 4.141831539879999857e-01 9.866894258719999300e+01 8.039999999999999147e+00 2.880799999999999983e+01 -2.139999999999999958e-01 4.463910758495330811e-01
2.745762747949167526e+00 1.431874401613383307e+00 1.031755504259999956e+00 1.054157772380000040e+02 8.019999999999999574e+00 2.881200000000000117e+01 1.719999999999999862e-01 2.108160972595214844e+00
2.818307306417354496e+00 1.388991624662406110e+00 6.289198578669999984e-01 8.309987375720000102e+01 4.440000000000000391e+00 2.881299999999999883e+01 2.620000000000000107e-01 1.364507436752319336e+00
2.080308502585320074e+00 1.281005046597756047e+00 6.527776870679999899e-01 8.725966956470000468e+01 4.509999999999999787e+00 2.881700000000000017e+01 3.589999999999999858e-01 1.917685747146606445e+00
1.615748455201254874e+00 3.161960037776464505e-01 5.585525735959999682e-01 3.538122225139999699e+01 1.231000000000000050e+01 2.882000000000000028e+01 2.049999999999999878e-01 5.474333763122558594e-01
8.063067819313978202e-01 3.162060843711133051e-01 3.657613777350000039e-01 5.284458892770000205e+01 1.073000000000000043e+01 2.882499999999999929e+01 1.390000000000000124e-01 5.529056787490844727e-01
1.170471033503661662e+00 8.543995977388104679e-01 3.734694125940000164e-01 8.042720336269999848e+01 4.400000000000000355e+00 2.882799999999999940e+01 2.000000000000000042e-03 5.458807945251464844e-01
8.545590494728495523e-01 5.384208267732231157e-01 7.605997060950000499e-01 1.021541148550000031e+02 8.039999999999999147e+00 2.882999999999999829e+01 -3.350000000000000200e-01 3.441453576087951660e-01
4.694979407168482943e+00 1.700306998135849623e+00 6.874341205899999752e-01 8.736799126479999700e+01 4.509999999999999787e+00 2.882999999999999829e+01 -2.560000000000000053e-01 2.236605882644653320e+00
1.280960943385660578e+00 1.062746534976098500e+00 5.561146931589999731e-01 1.009893289949999939e+02 8.029999999999999361e+00 2.882999999999999829e+01 -3.150000000000000022e-01 5.681353807449340820e-01
1.844056591942948353e+00 1.140074038493842146e+00 6.257546439469999777e-01 8.645063977659999921e+01 4.509999999999999787e+00 2.883800000000000097e+01 -2.099999999999999922e-01 1.207302331924438477e+00
1.702455174166602081e+00 3.606610952912511769e-01 5.415436365979999778e-01 8.574133640530000378e+01 4.469999999999999751e+00 2.883999999999999986e+01 3.629999999999999893e-01 3.722182214260101318e-01
2.087849564447558315e+00 1.456176141586672079e+00 7.888893760620000473e-01 9.597634185130000617e+01 8.039999999999999147e+00 2.885099999999999909e+01 -2.260000000000000064e-01 5.357262492179870605e-01
1.216656021194522763e+00 7.279207422526801086e-01 3.329234890059999952e-01 1.029133757710000054e+02 4.780000000000000249e+00 2.885099999999999909e+01 3.130000000000000004e-01 4.287543892860412598e-01
3.106589825826759022e+00 1.749211142980078071e+00 8.317686518829999764e-01 1.013431909159999975e+02 8.009999999999999787e+00 2.885200000000000031e+01 5.899999999999999689e-02 1.354591012001037598e+00
1.220470241578422099e+00 7.212231370460712165e-01 3.154885324960000070e-01 5.043191480790000014e+01 1.076999999999999957e+01 2.886299999999999955e+01 1.980000000000000093e-01 6.655530929565429688e-01
1.334196617617374736e+00 5.384978280296797148e-01 7.360829827999999520e-01 5.244391945390000132e+01 1.072000000000000064e+01 2.887000000000000099e+01 6.400000000000000133e-02 7.110805511474609375e-01
2.061626765975521192e+00 8.245930750642584961e-01 3.353690111920000216e-01 5.279706544860000150e+01 1.073000000000000043e+01 2.887300000000000111e+01 8.599999999999999312e-02 9.016590118408203125e-01
8.944732812864550908e-01 6.324314818969821728e-01 3.173147734099999728e-01 9.440447700519999330e+01 4.709999999999999964e+00 2.887500000000000000e+01 7.599999999999999811e-02 1.088457107543945312e+00
1.941661490727563999e+00 1.216545056315589068e+00 5.936734968429999704e-01 1.014540297530000004e+02 8.039999999999999147e+00 2.888599999999999923e+01 -2.199999999999999872e-02 1.444712400436401367e+00
3.584215595280301425e+00 1.208483009548671827e+00 7.172821392949999542e-01 9.638648061829999847e+01 8.019999999999999574e+00 2.892200000000000060e+01 -2.290000000000000091e-01 1.167438745498657227e+00
1.208407818837281544e+00 5.098811683140177520e-01 2.248793065340000119e-01 1.086444493260000002e+02 6.610000000000000320e+00 2.892599999999999838e+01 1.320000000000000062e-01 4.584690332412719727e-01
1.100000042003372869e+00 6.000000002641935337e-01 4.466456906060000120e-01 4.515185046119999868e+01 1.069999999999999929e+01 2.892699999999999960e+01 1.799999999999999864e-02 1.254882097244262695e+00
1.264832050450887868e+00 5.385559272244162532e-01 6.559585055679999499e-01 7.089781569429999308e+01 4.320000000000000284e+00 2.892999999999999972e+01 1.260000000000000009e-01 5.182878971099853516e-01
2.256018197467340780e+00 7.071241921225605020e-01 6.375836380770000256e-01 7.181554318300000261e+01 4.330000000000000071e+00 2.894900000000000162e+01 1.049999999999999961e-01 4.778742194175720215e-01
1.565468924268452078e+00 1.076908919295748834e+00 5.418632542579999711e-01 9.593434279269999365e+01 8.019999999999999574e+00 2.895899999999999963e+01 -2.049999999999999878e-01 4.946195483207702637e-01
9.847246975230498078e-01 5.001102667606592833e-01 4.146961973339999830e-01 8.271396382970000616e+01 4.440000000000000391e+00 2.896499999999999986e+01 2.610000000000000098e-01 6.484870910644531250e-01
1.676249643430838487e+00 8.544335797170682367e-01 2.517814842519999763e-01 8.238765437269999836e+01 4.459999999999999964e+00 2.897500000000000142e+01 6.900000000000000577e-02 1.154154658317565918e+00
