Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
88   358   349   646   0.85   6.80   6.40   5.26   5.11     180.38     519    
89   324   164   486   0.85   1.84   1.60   1.26   2.86       8.81      18    
90   300   386   657   0.85   7.17   5.86   6.33   4.84     276.29     739    
91     5   269   677   0.84   1.11   1.14   0.98   1.08       3.40       6    
92   528    46   383   0.84   3.28   2.53   2.11   4.36      46.52      96    
93   173   269   377   0.83   0.89   3.00   1.26   1.81       3.71       7    
94   438   137   508   0.83   1.66   1.14   1.13   2.00       5.87      12    
95   444   258   686   0.83   3.94   7.52   3.83   5.53     122.55     289    
96   456   123   469   0.82   1.84   2.47   1.38   2.17       3.61       7    
97   452   149   434   0.82   1.17   2.49   1.26   1.18       5.24       9    
98   170   278   676   0.82   6.75  10.19   7.33   7.92     677.31    1737    
99   592    46   550   0.82   1.18   0.00   0.80   1.56       2.95       6    
100   119   271   793   0.81   0.00   1.81   0.98   1.91       4.13       9    
101   589    83   622   0.81   2.24   1.83   1.78   1.11       8.26      16    
102   187   264   782   0.81   1.14   1.06   0.98   1.14       3.55       6    
103   590   159   550   0.80   1.09   1.10   0.98   1.34       3.17       6    
104   462   170   475   0.80   1.11   2.65   1.38   1.16       3.43       6    
105   460   170   531   0.80   1.09   2.23   1.38   0.56       4.03       7    
106    63   266   431   0.79   1.15   1.16   1.13   1.67       5.68      11    
107   594   278   519   0.79   1.79   3.14   1.69   5.55      12.28      26    
108   438   164   523   0.79   1.74   1.58   1.38   1.15       4.98      11    
109   501   123   658   0.78  10.18   8.13   5.56   4.93     219.44     541    
110    87   266   795   0.78   -NaN   2.85   1.13   1.19       3.69       8    
111   451   130   537   0.78   1.06   0.79   0.98   3.90       5.25      10    
112   492   154   540   0.78   1.59   1.85   1.38   0.00       3.99       6    
113   453    52   510   0.78   1.10   1.07   0.98   1.17       3.53       6    
114   448   129   536   0.78   1.06   2.12   1.26   5.01       8.43      23    
115   484   136   543   0.78  11.15   4.64   5.23   6.64     314.34     736    
116   122   245   555   0.77   9.03   5.49   6.98   3.22     199.34     557    
117   581   308   525   0.77   3.51   4.32   3.19   4.08      53.16     145    
118   458   367   590   0.77   3.39   3.67   2.82   2.67      27.61      88    
119   265   487   404   0.77   2.71   -NaN   1.13   1.04       3.09       6    
120   596   398   442   0.77   0.00   1.17   0.80   1.60       2.67       6    
121   591   128   511   0.77   1.48   1.80   1.13   0.89       3.12       6    
