Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
1   111   210   414   3.22   1.18   3.03   1.78   0.62      20.96      15    
2    58   215   712   3.10   1.67   1.45   1.49   3.29      33.34      22    
3    53   201   476   3.10   4.73   2.16   2.76   0.30      49.51      27    
4    74    99   609   3.10  14.04  19.22  13.15  11.39    4959.22    7588    
5   138   206   712   3.01   3.46   1.42   1.87   2.75      34.10      26    
6    75   215   712   3.00   3.63   3.21   2.59   3.48      84.53      71    
7    82   200   476   2.93   2.13   1.90   1.78   0.58      23.56      13    
8    49   215   712   2.92   1.83   2.87   1.60   3.01      24.42      23    
9    86   215   712   2.88   1.55   4.57   1.87   3.68      36.82      34    
10   474    34   464   2.86  12.08  30.55  16.98   8.81    6144.49    9307    
11    23   195   712   2.86   3.14   1.87   2.33   4.14      77.60      61    
12    64   205   476   2.86   2.97   3.99   1.95   0.55      22.05      16    
13   136   215   712   2.82   2.80   2.37   1.87   0.82      27.43      20    
14   134   210   712   2.82   1.50   0.82   1.13   3.30      19.91      12    
15    47   210   414   2.80   4.97   2.07   2.46   0.73      45.31      33    
16    65   210   714   2.78   2.82   1.53   1.69   3.58      79.08      60    
17    34   205   715   2.78   0.00   1.85   0.98   2.10      16.84      14    
18    45   195   315   2.76   1.89   2.37   1.95   0.48      24.67      16    
19    49   201   712   2.74   2.10   3.43   1.78   2.50      26.31      21    
20    99   205   713   2.69   3.20   1.85   1.49   3.71      50.54      37    
21    64   215   315   2.66   1.88   2.42   1.78   1.22      30.77      24    
22   131   205   315   2.63   1.18   2.32   1.60   1.50      24.06      22    
23    55   210   315   2.61   1.87   5.08   2.19   1.61      46.89      41    
24   132   200   712   2.60   4.96   7.33   3.74   2.42     122.73     121    
25   123   201   714   2.56   2.46   1.57   1.60   3.89      56.06      42    
26    96   210   497   2.56   2.15   2.36   1.87   1.07      27.61      21    
27   135   186   315   2.53   1.31   2.73   1.69   0.83      13.17      14    
28    56   186   712   2.50   1.73   1.94   1.60   3.03      26.87      23    
29   137   200   712   2.45   1.83   1.49   1.38   0.99      16.63      11    
30    51   205   414   2.45   1.57   2.44   1.60   0.79      15.26      14    
31    37   201   712   2.44   0.87   1.14   0.98   3.02      14.80      11    
32     1   226   712   2.40   3.70   4.49   3.09   3.29      76.52      49   
33   132   181   315   2.40   3.53   2.20   1.78   0.34      16.11      11    
34    89   191   315   2.35   4.24   2.44   2.03   1.20      27.16      27    
35    76   196   713   2.30   -NaN   1.18   0.80   3.41      17.54      14    
36    64   191   414   2.27   4.30   1.82   2.03   0.68      24.96      21    
37    83   205   414   2.26   3.98   1.88   2.03   0.81      29.15      23    
38    71   191   315   2.26   0.98   5.33   1.60   1.28      18.06      18    
39    42   191   712   2.25   4.56   1.50   2.03   2.73      35.25      28    
40    85   196   712   2.24   2.14   1.90   1.49   0.91      15.63      13    
41   102   181   712   2.23   0.91   1.00   0.98   3.01      11.73      11    
42   122   191   712   2.18   1.50   1.79   1.38   0.84      12.32      11    
43   109   210   315   2.16   1.72   2.23   1.49   1.11      18.38      14    
44    52   196   256   2.14   1.60   3.27   1.69   1.15      19.43      18    
45    45   176   712   2.13   2.67   1.90   1.95   1.95      27.67      22    
46   102   201   315   2.12   2.68   1.79   1.69   1.61      17.91      22    
47    84   210   497   2.10   1.58   1.90   1.49   1.17      21.48      14    
48    89   176   256   2.08   1.67   2.93   1.95   0.91      19.80      17    
49    25   176   256   2.08   1.59   1.66   1.38   1.14      15.78      12    
50    70   186   714   2.07   1.11   1.81   0.98   3.73      22.60      22    
51     9   215   712   2.04   2.14   4.67   2.39   4.14      64.77      62    
52    29   176   712   1.97   1.14   2.88   1.60   1.37      16.67      22    
53    37   181   714   1.96   0.00   2.31   1.13   3.43      22.62      25    
54    34   181   476   1.94   2.29   2.31   1.69   0.58      12.88      11    
55   457   195   446   1.94   8.65  10.57   9.42  14.47    2391.99    4444    
56    56   176   315   1.93   2.12   2.16   1.87   1.43      26.28      30    
57    88   185   714   1.93   1.85   1.91   1.26   3.17      15.66      15    
58    28   196   497   1.91   1.18   1.80   1.38   1.11      13.66      12    
59    38   166   712   1.90   1.52   1.78   1.26   2.90      10.22      11    
60    13   214   315   1.89   3.74   5.35   2.82   0.67      26.49      31    
61    67   196   497   1.84   1.02   2.71   1.38   1.15      11.04      13    
62    71   181   256   1.83   2.84   1.69   1.87   1.14      25.51      22    
63   108   185   713   1.82   1.18   0.00   0.80   3.83      16.03      16    
64   457     4   409   1.79   0.00   2.40   1.13   1.20       8.16      11    
65     2   221   497   1.77   3.61   5.50   2.99   2.14      64.84      64   
66    98   176   716   1.74   1.91   2.80   1.60   2.19      17.64      22    
67   438   121   728   1.74   1.12   1.99   1.13   3.81      12.19      18    
68     6   216   414   1.73   1.45   3.56   1.78   0.69      17.18      16    
69     4   210   712   1.73   1.48   5.16   2.11   3.27      48.81      47    
70    35   171   712   1.72   3.13   1.80   1.87   3.37      23.90      30    
71    84   171   256   1.72   1.82   1.42   1.49   0.99      12.74      12    
72    40   191   315   1.72   1.18   2.03   1.38   1.12      12.63      12    
73   133   176   712   1.71   0.00   1.08   0.80   3.81       9.66      11    
74    51   166   315   1.70   1.59   2.12   1.60   1.39      16.71      19    
75    49   181   316   1.69   1.89   1.73   1.60   1.58      23.68      22    
76     4   230   715   1.69   2.46   1.53   1.38   3.81      20.17      25    
77   121   181   497   1.65   2.62   1.72   1.78   1.12      21.33      20    
78    86   209   256   1.64   2.30   1.81   1.49   1.10      10.14      12    
79    13   202   256   1.64   2.50   1.34   1.69   9.11      54.82      56    
80   452     4   313   1.62   1.15   2.96   1.78   1.98      29.67      33    
81   124   199   476   1.62   1.76   2.06   1.49   0.83       9.19      12    
82     1   213   715   1.61   1.46   1.07   1.13   1.89      13.49      14   
83   436   223   450   1.61  13.68  17.97  13.03  15.54    4112.35    7947    
84   296   380   250   1.59   1.03   4.00   1.95   4.53      36.24      48    
85   126   166   476   1.59  16.77   5.69   5.01   6.97     310.12     535    
86     5   201   712   1.59   3.87   2.84   2.59   3.98      60.57      64    
