Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
87   370   143   444   1.58   8.30   9.33   8.90  25.21    1892.57    3523    
88    12   195   712   1.56   3.84   2.72   2.46   1.97      34.06      34    
89   466   215   435   1.54   6.60   8.12   7.78  15.37    1769.32    3385    
90    22   166   715   1.54   2.02   2.32   1.69   3.13      34.76      44    
91    12   212   714   1.52   -NaN   1.18   0.80   3.98      13.99      16    
92     0   182   712   1.51   5.13   5.20   3.09   1.05      40.51      46   
93    15   201   506   1.47   0.00   -NaN   0.56  10.62      17.86      21    
94    22   220   256   1.46   1.69   5.21   2.26   0.75      17.77      21    
95   137   161   712   1.45   1.08   1.70   1.26   1.84      11.28      15    
96    13   202   507   1.43   -NaN   -NaN   0.56  10.12      16.99      19    
97    77   167   476   1.43   3.00   1.89   1.60   0.65       8.92      11    
98   107   242   712   1.42   2.28   1.21   1.49   3.78      21.68      30    
99    84   156   712   1.42   3.79   2.17   2.11   1.95      16.46      20    
100    54   205   327   1.42   0.00   0.00   0.56   5.52       8.93      11    
101   447     9   689   1.41   -NaN   2.60   1.13   1.47       9.51      12    
102   125   167   713   1.40   1.13   2.13   1.49   3.35      17.76      29    
103     6   203   414   1.39   1.53   2.08   1.49   0.73      10.35      11    
104    83   241   497   1.38   1.64   1.92   1.49   1.25      12.31      16    
105    72   171   476   1.38   2.16   1.72   1.49   0.90       9.35      12    
106   593   124   346   1.37   1.89   2.48   1.69   0.55      10.30      11    
107    66   194   315   1.37   1.69   1.80   1.49   1.87      15.19      23    
108   166   154   609   1.36  16.16  13.89  12.11   7.36    1636.01    3626    
109   112   235   712   1.34   2.76   4.31   2.26   2.12      15.51      22    
110   194    51   328   1.34  15.51  13.14  10.57  12.94    1678.02    4119    
111    87   172   712   1.32   1.18   1.81   1.26   1.61       7.74      13    
112    51   161   714   1.32   -NaN   1.17   0.80   3.49      10.13      13    
113    79   220   256   1.32   1.18   1.85   1.38   1.14      10.34      12    
114   132   156   256   1.31   1.74   1.89   1.49   0.95       9.74      13    
115    76   161   315   1.31   2.70   2.66   2.03   1.16      16.63      23    
116   117   156   712   1.31   3.15   2.03   1.87   1.58      13.52      17    
117    40   156   712   1.31   1.46   4.75   1.69   3.56      14.33      25    
118   124   161   315   1.30   3.60   1.10   1.60   9.28      20.30      30    
119    14   176   513   1.30   5.23  10.08   4.92   3.60     267.31     383    
120   125   235   256   1.30   2.93   2.08   1.87   0.83      12.53      15   
121     0    12   393   1.29   1.46   5.20   1.69   1.51      14.11      22   
122     4   193   476   1.29   3.26   1.64   1.49   0.82       7.98      11   
123   116   194   713   1.28   1.54   0.00   0.98   3.49      11.85      15    
124    52   230   256   1.28   2.16   2.40   1.87   1.07      14.10      18    
125    57   170   712   1.28   2.08   0.64   1.26   3.75      13.67      19    
126     8   182   476   1.28   2.65   3.09   1.69   0.73      10.50      13    
127    77   207   315   1.27   2.34   1.15   1.38   1.36       9.88      14    
128    34    95   716   1.27   6.94  15.75   8.12   6.08     692.39    1503    
129    24   161   714   1.26   1.08   1.43   1.26   3.29      13.24      19    
130     2   168   712   1.26   4.40   6.15   2.82   0.40      25.41      28   
131     5   195   492   1.24   1.17   2.39   1.49   0.73       9.08      11    
132   101   230   256   1.24   1.18   1.89   1.38   1.10       9.00      12    
133    24   220   497   1.23   2.89   5.97   2.11   0.91      16.13      21    
134   444   125   416   1.23   8.29   5.84   5.47   7.29     434.57     850    
135    91   230   315   1.22   1.86   3.19   1.60   1.05       9.32      15    
136   446    18   617   1.22   1.17   1.12   1.13   3.37      11.39      16    
137    23   225   712   1.22   3.13   2.99   1.87   1.13      10.55      14    
138   105   189   712   1.20   3.66   1.14   1.49   3.09      16.26      27    
139   132   161   477   1.20   3.29   2.80   1.60   2.00      16.35      27    
140    14   188   713   1.20   1.99   1.76   1.26   2.67      10.66      14    
141    40   202   713   1.19   1.17   0.00   0.80   3.73       9.91      14    
142    53   170   712   1.19   1.87   1.64   1.49   2.92      12.22      21    
143   143   262   398   1.19   2.30   1.93   1.78   1.02      14.36      20    
144    62   235   713   1.18   3.01   1.50   1.78   3.61      26.51      38    
145    75   230   315   1.17   1.98   1.54   1.38   1.27       8.51      12    
146    40   235   715   1.17   3.47   1.39   1.60   3.34      16.76      24    
147   405   116   294   1.16   2.48   0.68   1.26   3.19      18.50      26    
148   359   124   708   1.15   1.16   2.37   1.49   1.15       8.96      15    
149   293   377   285   1.15   1.07   2.40   1.78   6.90      19.81      26    
150    20   170   714   1.14   1.18   0.00   0.80   3.79      10.19      14    
151   136   213   316   1.14   2.32   1.17   1.38   1.47      10.63      14    
152    25   235   712   1.12   1.15   4.28   1.38   1.58       6.59      11    
153    99   165   492   1.12   3.16   1.70   2.11   6.10      61.21     113    
154   288   151   604   1.12  12.97   6.20   8.72   6.79     862.88    1971    
155    66   202   315   1.11   1.96   1.14   1.38   1.36       9.64      14    
156    95   230   458   1.11   3.43   3.19   1.78   1.04      13.01      19    
157   339   119   549   1.11   1.18   2.56   1.26   2.62       7.32      11    
158    69   235   712   1.10   2.22   6.51   2.03   2.50      15.02      26    
159   398   123   472   1.10   2.66   2.36   2.11   0.00      13.20      14    
160    34   156   414   1.10   1.90   1.18   1.38   1.03       7.99      11    
161   318    16   303   1.09   2.63   9.45   3.61  39.01    1242.60    2147    
162    93   220   256   1.08   1.67   1.92   1.49   1.04       9.60      13    
163   158   259   623   1.08   2.05   3.39   2.26   1.29      14.45      25    
164   341   118   371   1.08   0.95   2.54   1.26   1.39       8.37      12    
165   319    10   299   1.08   -NaN   -NaN   0.56  28.50      36.16      53    
166    66   230   315   1.08   2.11   1.99   1.38   1.12       6.69      12    
167   132   220   320   1.07   1.13   4.44   1.95   1.46      17.17      30    
168   311   310   623   1.07  12.09   5.93   7.31   5.16     542.68    1157    
169   109   224   712   1.05   1.17   0.75   0.98   3.25       9.08      13    
170    12   167   414   1.05   2.23   2.20   1.78   1.01      12.50      19    
171   127   166   315   1.05   1.13   1.35   1.13   3.41       7.41      12    
172   319    35   291   1.05   1.79   4.48   2.26  36.71     523.30     865    
173    16   199   327   1.05   1.18   1.16   1.13   2.27       9.78      16    
174   595   375   664   1.04   1.17   2.96   1.69   0.75       9.49      13    
175    99   235   712   1.03   1.40   1.39   1.38   3.15      15.56      23    
176    10   173   476   1.03   0.95   1.94   1.13   1.97       9.20      14    
177    52   220   388   1.03   2.05   4.25   2.39   0.85      17.04      28    
178     4   174   476   1.03   3.80   2.19   1.87   0.88      11.19      17   
179   410   117   425   1.02   1.41   1.86   1.26   1.18       6.84      11    
180   350   118   586   1.02   1.10   3.18   1.60   1.15      11.81      15    
181    15   105   714   1.02   7.98   7.40   6.89   8.98     728.08    1615    
182   123   157   714   1.02   1.17   1.84   1.13   2.42       7.04      12    
183   328   123   417   1.02   -NaN   2.60   1.13   1.57       7.19      12    
184    87   230   315   1.01   4.17   1.42   2.03   1.48      18.72      29    
185   137   156   687   1.01   1.63   2.19   1.60   0.92       7.56      13    
186   113   157   713   1.01   1.14   1.14   0.80   3.61       6.78      12
