Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
90   534   104   408   0.76   1.53   2.43   1.49   2.26       5.22      12    
91   476     5   211   0.76   -NaN   0.52   0.80   5.53       5.38      11    
92   417     8   413   0.76   1.44   3.18   1.60   1.57       7.37      16    
93   330   193   456   0.75   6.77   5.02   5.08   5.56     216.87     569    
94   547     8   385   0.75   0.00   0.71   0.80   8.29       7.33      16    
95   126   222   524   0.75   4.75   4.40   3.48   3.47      77.66     200    
96   181   123   681   0.74   0.96   1.46   1.26   5.23      10.31      21    
97   498   302   672   0.74   1.63   1.46   1.38   1.84       8.40      17    
98   145   132   349   0.73   1.87   1.43   1.26   3.78       8.26      16    
99     1   370   398   0.73   0.00   0.00   0.56   6.30       5.63      11    
100   394   377   598   0.72   0.83   2.42   1.13   2.31       6.72      14    
101   415     4   428   0.72   0.00   1.17   0.80   3.33       5.71      12    
102    30   127   262   0.72   -NaN   0.73   0.80   8.27       6.65      16    
103   574   121   356   0.72   3.76   4.25   3.29   4.75      90.99     238    
104   141   118   279   0.71   1.57   2.14   1.60   2.07       8.21      15    
105   265   124   645   0.71   0.00   1.82   0.98   2.14       4.87      11    
106   270   133   266   0.71   0.85   1.59   1.13   7.15       6.39      15    
107     8     9   343   0.71   1.10   1.11   0.98   2.48       6.20      12    
108   132   122   552   0.71   -NaN   -NaN   0.56   8.76       7.71      15    
109    59   123   671   0.71   0.00   2.50   1.13   1.86       6.19      12    
110   467   115   358   0.70   6.33   3.42   2.59   5.61      44.59     117    
111   368   313   381   0.70   3.78   3.65   3.29   3.28      65.65     167    
112   443   240   571   0.70   1.84   1.51   1.49   1.40       5.76      14    
113   150   376   376   0.70   0.00   -NaN   0.56   8.75       7.59      15    
114    21   211   462   0.70   6.05   4.87   3.61   3.05      48.97     136    
115   270   370   302   0.69   2.58   1.75   1.78   0.45       5.75      11    
116    62   379   700   0.69   1.10   1.15   0.98   2.24       4.84      11    
117   380   122   706   0.68   0.73   1.52   1.13   6.61       6.25      16    
118   579   120   356   0.68   3.10   1.55   1.60   4.34      16.11      35    
119   493   104   348   0.68   1.14   1.55   1.13   2.51       5.33      14    
120    34   262   545   0.67   1.71   1.74   1.49   1.52       6.01      15    
121   386    15   406   0.67   1.76   1.41   1.38   1.30       5.70      12    
122   588   198   486   0.66  13.41   5.13   6.13   8.59     250.02     743    
123     2   270   385   0.66   0.00   0.00   0.56   8.75       7.21      15    
124    66   155   515   0.66   7.08   7.25   5.41   4.69     217.89     576    
125   145   148   462   0.66   1.43   1.98   1.38   2.01       6.05      12    
126   494   370   627   0.65   1.67   2.58   1.38   3.05       7.92      20    
127   485   143   440   0.65   4.15   3.35   3.14   5.39      73.88     219    
128   505   317   263   0.65   5.19   4.80   4.33   7.78     201.58     517    
129   150   376   627   0.65   -NaN   0.00   0.56   8.76       7.05      15    
130   379     0   503   0.65   1.15   0.00   0.80   5.13       7.59      17   
131   182   127   212   0.64   -NaN   1.18   0.80   4.43       6.87      15    
132   322   112   477   0.64   4.05   3.54   2.76   4.86      52.01     143    
133    32   204   464   0.64   1.01   1.55   1.13   4.02       5.16      15    
134   536    55   463   0.64   0.97   2.36   1.38   2.77       4.20      11    
135   355   361   305   0.63   2.06   1.78   1.60   3.15       5.85      15    
136   318   163   372   0.63   1.90   1.17   1.38   1.28       4.24      11    
137   565    16   489   0.63   1.30   1.45   1.38   3.60       4.76      12    
138   557   181   372   0.63   1.18   1.80   1.38   1.33       4.25      11    
139   487   329   547   0.63   3.12   2.18   1.87   0.00       5.10      11    
140   389    60   429   0.62   2.78   2.38   1.95   0.47       5.34      13    
141   157   136   701   0.62   1.24   2.40   1.60   2.71       6.86      19    
142   381   282   676   0.62   2.56   3.21   1.69   0.80       4.74      11    
143   589   125   714   0.62   1.72   1.56   1.38   2.06       5.48      14    
144   317   370   466   0.62   2.02   2.64   1.87   0.61       6.51      13    
145   105   242   409   0.62   4.75   4.48   4.11   4.21     107.29     306    
146   360   117   365   0.62   1.16   1.84   1.13   6.41       8.47      22    
147   421     0   496   0.61   1.18   0.00   0.80   3.26       4.97      11   
148   448   173   724   0.61   1.12   1.45   1.13   2.04       4.99      12    
149   527   154   441   0.61   4.84   7.59   4.79   8.14     207.57     623    
150   588   121   362   0.61   1.69   1.10   1.26   2.38       7.14      16    
151   522   143   350   0.61   6.05  11.69   5.44  12.70     290.79     857    
152   102   181   228   0.61   3.03   1.90   1.87   0.67       5.76      13    
153   143   243   279   0.61   0.75   2.69   1.26   2.06       5.08      12    
154   371   125   382   0.60   1.18   0.95   1.13   3.50       5.66      13    
155   519   340   380   0.60   1.35   1.39   1.38   4.39       4.54      11    
156   547     9   636   0.60   0.00   0.00   0.56   8.76       6.53      15    
157   596   128   358   0.60   6.06   3.68   3.87   5.79     102.92     326    
158   509    24   261   0.60   1.73   1.17   1.26   1.80       3.98      12    
