Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv  Sum(T)  Npix
87   388   369   660   1.12   6.38   4.95   4.82   7.42  400.45  1302    
88   386   308   558   1.12   8.45   8.57   8.33   8.90  746.98  2186    
89    82   294   669   1.12   4.50   7.93   6.65  13.83  947.28  2719    
90   313    83   391   1.12   4.89   4.80   3.74   5.98  190.95   605    
91   135   357   686   1.12   4.47   5.13   4.44  13.36  619.97  1931    
92   400   226   326   1.12   5.40   4.36   5.17   7.47  318.54   718    
93   363   323   547   1.12  10.79  11.39   7.92   6.90  535.05  1961    
94   239    52   521   1.11   5.83   6.41   5.35   4.00  283.49   810    
95   190   269   636   1.11   0.97   1.93   1.13   9.99   40.57   100    
96   551   196   377   1.10   4.47   5.97   4.26   7.54  370.45  1062    
97   338   175   522   1.09   4.29   4.55   3.95   6.23  234.56   684    
98   153   345   648   1.09   4.92   4.50   4.65   6.41  249.22   805    
99   469   236   638   1.09   7.36   6.55   6.63   6.25  374.39  1157    
100   597   417   643   1.09   1.55   5.09   2.39   5.40   89.53   240
101   211   325   545   1.09   7.80   7.35   6.89   6.45  532.37  1789    
102    96   126   584   1.08   6.93   5.59   5.75   8.39  466.30  2066    
103   332   169   523   1.08   4.31   4.71   3.24   5.06  141.23   383    
104   488   224   684   1.07   3.28   3.79   2.93   4.85  112.02   326    
105   384   313   560   1.07   8.01   5.51   6.98   8.26  613.05  1959    
106    87   281   659   1.07   7.70   6.43   7.00   8.91  751.67  2073    
107   107   414   562   1.06   5.33   6.02   6.05   6.91  346.97  1159    
108   457   250   689   1.06   3.58   3.37   3.39   4.71   93.50   255    
109   394   279   541   1.05  10.52   8.59  11.34  12.44  930.62  3784    
110   182   268   633   1.04   1.17   1.63   1.13   8.14   34.70    84    
111    73   297   624   1.04   3.92   4.36   3.74   5.50  180.75   589    
112   484   137   543   1.04   3.19   2.73   2.46   5.82   99.42   267    
113   358   376   620   1.03   4.61   6.97   4.58   8.88  402.16  1396    
114   376   332   560   1.03   7.68   6.90   6.58   6.49  506.73  1670    
115   399   222   329   1.02   4.50   4.17   4.65   6.77  170.50   612    
116   579   215   621   1.02   3.62   3.78   2.93   6.81  163.45   466    
117   298   260   653   1.02   5.41   5.22   4.82   6.60  302.48  1031    
118    74   303   415   1.02   4.99   4.14   4.15   5.18  189.07   584    
119   185   268   633   1.02   1.18   0.00   0.80   9.43   20.48    50    
120   212   208   528   1.01   6.76   4.18   4.82   5.63  270.84   947    
121   143   285   396   1.01   4.54   3.90   3.74   8.02  247.03   857    
122   421   135   525   1.01   5.02   4.33   3.95   6.55  212.46   672    
123   458   277   688   1.00   4.98   4.84   4.62   9.31  398.62  1202    
124   370    61   392   0.99   3.78   3.76   3.29   5.90  168.00   496    
125   385    46   532   0.98   2.89   2.63   2.19   3.83   54.21   146    
126   463   277   690   0.96   0.00   1.84   0.98   9.67   23.70    73    
127   348   226   566   0.95   3.78   4.18   3.34   4.75  130.08   405    
128   362   376   659   0.94   3.79   3.72   3.43   7.47  139.94   457    
129    90   114   636   0.94   5.40   6.58   6.38   9.68  453.36  1976    
130   114   278   401   0.94   6.47   5.81   5.08   9.63  481.64  1699    
131   381   185   672   0.94   2.39   4.66   2.52   4.58   69.79   225    
132   527   443   320   0.93   4.39   5.69   3.99   6.92  210.60   713    
133   347   392   664   0.93   5.35   5.80   4.72   6.75  328.94  1151    
134   257    48   522   0.93   5.97   2.53   3.14   4.72  101.89   346    
135   520   365   600   0.92   3.72   3.59   2.82   4.99   86.33   297    
136   414   170   563   0.92   -NaN   1.18   0.80   4.32    8.39    22    
137   420   140   526   0.92   3.29   5.05   3.43   6.03  140.44   441    
138   324   164   486   0.92   1.18   -NaN   0.80   2.79    5.48    14    
139   446   261   684   0.91   1.02   1.83   0.98   5.56   11.53    39    
140   217   199   526   0.91   8.74   3.54   4.92   4.18  205.70   754    
141   336    65   402   0.90   4.37   2.74   2.88   4.20   79.02   266    
142   458   241   636   0.90   1.69   1.79   1.38   3.94   21.16    60    
143   124   334   414   0.90   4.08   3.62   3.43   5.21  138.63   469    
144   559   177   538   0.89   6.19   4.89   3.99   5.90  173.60   578    
145   510   258   647   0.89   3.10   4.48   3.95   8.71  123.66   448    
146   441   143   586   0.89   0.00   -NaN   0.56   4.62    4.47    12    
147   486   258   695   0.88   2.49   2.92   2.26   5.57   72.91   219    
148   403   260   653   0.88   4.94   5.00   4.11   8.28  280.47   992    
149   412   170   563   0.87   -NaN   0.00   0.56   4.02    3.82    10    
150   444   258   686   0.87   1.10   1.09   0.98   3.60    9.83    27    
151   465   384   596   0.86   3.16   4.24   2.76   6.24  103.96   365    
152   519   449   326   0.85  12.49   6.39   5.61  12.09  538.48  1934    
153   358   349   646   0.85   2.27   4.16   2.52   5.24   44.82   165    
154   300   386   657   0.85   4.21   4.18   3.91   6.20  183.31   644    
155   501   123   658   0.84   1.16   1.06   0.98   3.76    9.51    27    
156   596   341   541   0.84   1.14   0.93   0.98   3.69    8.39    25
157   182   265   632   0.83   0.00   0.00   0.56   7.27    6.57    18    
158    78   293   407   0.82   3.14   3.68   3.66   9.46  149.68   392    
159   424   254   384   0.82   5.41   5.56   6.13   4.46  164.63   630    
160   170   278   676   0.82   4.61   6.64   4.82   9.67  382.18  1322    
161   375   301   556   0.82  13.71   8.95  10.79  11.06  858.33  3441    
162   168   273   679   0.82   3.79   3.86   4.30   7.81  110.51   475    
163   214   271   672   0.80   0.00   0.00   0.56   2.70    2.54     7    
164   415   166   563   0.80   0.00   -NaN   0.56   2.30    1.99     6    
165   563   253   652   0.80   -NaN   0.00   0.56   4.20    3.64    11    
166   205   268   689   0.79   4.74   6.54   5.08   7.71  119.47   821    
167   509   255   646   0.79   5.13   5.08   5.14  12.22  212.58   744    
168   423   253   379   0.78   6.39   4.78   5.20   3.44  145.30   277    
169   239   252   660   0.78   6.27   6.66   6.00   8.79  409.47  1618    
170   427   256   388   0.78   4.20   5.51   4.37   7.59  183.13   700    
171    77   299   414   0.78   4.71   6.68   4.37   6.06  134.61   523    
172   245    51   521   0.78   3.30   3.87   2.82   4.43   69.11   235    
173   122   245   555   0.77   6.77   4.63   4.65   4.61  180.78   736    
174   581   308   525   0.77   1.75   1.16   1.26   3.42   12.48    41    
175   350   337   541   0.77   6.28   5.18   4.37   7.46  249.12   985    
176   423   254   377   0.77   6.26   3.50   4.44   5.36   96.38   469    
177   569   196   536   0.77   1.76   1.79   1.49   5.34   26.68    89    
178   596   224   625   0.77   2.74   3.31   3.04   6.74   72.07   269
179   248    50   521   0.77   1.58   1.58   1.38   3.40   15.20    52    
180   170   334   655   0.76   6.08   4.82   3.87   7.45  192.73   718    
181   176   321   644   0.76   4.07   5.44   4.11   6.38  183.33   792    
182   567   252   652   0.76   -NaN   -NaN   0.56   5.53    4.57    14    
183   461   273   690   0.76   2.83   4.84   3.66   8.76  107.06   414    
184   203   325   547   0.76   6.18   6.55   6.13   8.20  410.14  1521    
185   447   258   536   0.76   0.00   1.17   0.80   5.79    8.65    29    
186   548   189   534   0.75   3.80   2.70   2.19   4.02   43.74   145    
187   322   256   370   0.75   3.67   3.10   2.46   7.49   96.94   335    
188   352   342   550   0.74   2.53   2.69   2.26   3.35   34.82   130    
189   336    88   391   0.73   1.16   2.24   1.26   3.46   11.28    39    
190   554   206   374   0.73   1.02   1.15   0.98   7.45   16.42    52    
191   271   373   648   0.73   4.16   2.67   2.88   5.71   78.98   353    
192   571   197   535   0.72   1.00   1.16   0.98   6.03   12.60    42    
193   327    93   392   0.72   1.11   1.11   0.98   3.48    7.38    25    
194   350   250   372   0.72   0.00   0.00   0.56   5.49    4.25    14    
195   569   200   535   0.72   1.95   0.00   0.98   6.21   13.80    46    
196    82   372   404   0.71   3.88   5.47   3.74   5.36  122.91   531    
197   292   362   650   0.71   4.54   5.80   4.69   6.84  163.45   791    
198   575   189   534   0.71   1.15   1.16   1.13   5.47   12.92    44    
199   505   239   641   0.71   1.93   0.00   0.98   7.28   15.99    55    
200    71   293   403   0.71   6.00   2.33   3.87   5.71   59.34   355    
201   141   312   640   0.71   3.06   3.21   2.52   6.20   70.72   294    
202   190   273   637   0.71   1.89   1.01   1.13  13.59   38.11   131    
203   131   371   690   0.71   3.74   4.59   3.57   9.96  185.17   867    
204   409   231   647   0.71   0.99   1.66   1.13   8.29   23.38    83    
205   444   300   688   0.70   5.65   4.17   3.61   5.53  141.49   546    
206   550   194   476   0.70   0.00   -NaN   0.56   2.57    1.93     7    
207   463   249   538   0.70   0.00   -NaN   0.56   6.13    4.62    15    
208   412   278   540   0.69   9.52  12.30   7.55   7.31  267.94  1594    
209   332    93   390   0.69   -NaN   0.00   0.56   4.90    3.70    12    
210   449   289   690   0.69   6.91   4.51   3.83   8.51  207.78   879    
211   372   179   559   0.69   0.00   -NaN   0.56   3.44    2.67     8    
212   382   179   672   0.69   0.00   -NaN   0.56   3.24    2.45     8    
213   502   240   642   0.68   1.17   1.17   0.80   7.43   10.62    36    
214   426   250   337   0.68   -NaN   -NaN   0.56   9.42    6.96    24    
215   505   242   640   0.68   1.89   0.00   0.98   6.75   14.34    50    
216   447   259   686   0.68   0.00   0.00   0.56   5.94    4.35    15    
217   505   245   644   0.68   0.00   -NaN   0.56   8.47    6.21    21    
218   346   250   372   0.67   1.18   0.00   0.80   4.59    6.66    23    
219   546   185   536   0.67   1.16   1.16   0.80   3.77    5.24    18    
220   164   140   664   0.67   3.42   4.79   3.34   5.17  101.77   426    
221   536   304   524   0.67   2.31   2.85   1.95   7.73   55.38   210    
222   363   183   559   0.67   1.18   -NaN   0.80   6.01    8.64    30    
223   503   239   542   0.66   -NaN   -NaN   0.56   2.45    1.91     6    
224   240    40   597   0.66   3.84   2.57   2.46  10.16  119.37   463    
225   567   186   539   0.66   1.15   1.10   0.98   6.19   12.95    46    
226   363   180   559   0.66   0.00   1.18   0.80   6.39    8.96    32    
227   392   188   560   0.66   -NaN   0.00   0.56   3.19    2.36     8    
228   133   391   682   0.66   7.23   3.45   4.62   9.58  182.97   824    
229   222   274   667   0.66   -NaN   0.00   0.56   6.80    4.81    17    
230   325   255   330   0.65   -NaN   0.00   0.56   3.78    2.77    10    
231   503   317   614   0.65   1.79   2.09   1.60   4.92   25.55    96    
232   390   188   559   0.65   -NaN   -NaN   0.56   2.40    1.86     6    
233   580   218   620   0.65   0.00   0.00   0.56   5.54    3.97    14    
234   351   252   372   0.65   -NaN   -NaN   0.56   4.65    3.27    12    
235     1   267   640   0.65   1.16   2.76   1.49   6.30   28.02   110
236   321   162   523   0.64   2.11   0.00   0.98   3.60    5.89    21    
237   103   373   326   0.64   3.57   2.61   2.26   8.16   71.84   296    
238   368   244   648   0.64   1.12   1.16   0.98   3.61    5.56    19    
239   583   209   623   0.64   0.00   -NaN   0.56   2.28    1.63     6    
240   398    69   509   0.64   1.18   1.18   1.13   5.54   13.81    54    
241    20   410   565   0.64   2.62   4.20   2.52   6.58   74.04   309    
242   218   272   671   0.64   1.17   -NaN   0.80   8.91   11.81    44    
243   513   375   513   0.64   -NaN   1.17   0.80   4.60    6.02    23    
244   328   197   566   0.64   -NaN   -NaN   0.56   2.64    1.85     7    
245   467   379   653   0.63   -NaN   0.00   0.56   4.07    2.85    10    
246   338   183   648   0.63   0.00   -NaN   0.56   5.56    3.81    14    
247   536   375   606   0.63   2.36   2.09   1.49   4.94   20.04    80    
248   348   230   567   0.63   -NaN   -NaN   0.56   4.68    3.23    12    
249   518   374   514   0.63   0.00   0.00   0.56   3.10    2.12     7    
250   421   177   559   0.63   0.00   -NaN   0.56   9.15    6.18    23    
251   349   221   566   0.62   0.00   -NaN   0.56   4.04    2.82    10    
252   385   376   661   0.62   0.00   0.00   0.56   4.58    3.14    12    
253   327    91   393   0.62   0.00   0.00   0.56   3.69    2.56     9    
254   460   282   562   0.62   -NaN   1.89   0.98   5.67   10.70    41    
255   359    70   333   0.62   0.00   0.00   0.56   4.87    3.29    12    
256   511   449   331   0.62   0.00   -NaN   0.56   4.48    3.01    11    
257   456   274   651   0.62   1.12   1.11   0.98   2.51    5.15    18    
258   453   284   549   0.62   3.33   2.04   2.19  12.11   98.72   423    
259    89   275   554   0.62   1.80   -NaN   0.98   4.26    7.99    31    
260   255    47   559   0.62   0.00   0.00   0.56   3.87    2.60     9    
261   426   267   543   0.61   3.34   3.65   2.99   4.77   69.52   317    
262   269    57   530   0.61   2.68   3.67   2.71   5.96   69.64   294    
263   265    52   529   0.61   4.05   3.24   2.82   5.52   65.15   288    
264   594   290   632   0.61   0.00   0.00   0.56   3.87    2.57     9    
265   332    87   391   0.61   1.18   1.18   1.13   3.41    8.97    33    
266   364   377   621   0.60   1.12   1.14   0.98   6.15   11.41    45    
267   459   288   687   0.60   0.00   1.18   0.80   8.30   10.62    41    
268   143   422   556   0.60   2.22   3.08   1.78   6.34   32.60   122    
269   301   356   657   0.60   5.69   4.59   4.51   7.04  181.44   865    
270   215   415   618   0.60   -NaN   0.00   0.56   6.42    4.19    16    
271   101   252   554   0.60   3.85   3.41   3.34   5.77   77.39   361    
272    84   119   628   0.60   7.04   6.02   6.72   7.98  276.71  1647    
273    47   481   635   0.60   0.00   0.00   0.56   7.49    4.84    19    
274   490   322   709   0.60   -NaN   0.00   0.56   3.96    2.60    10    
275   456   287   724   0.60   0.00   -NaN   0.56   3.38    2.17     9    
276   324   194   566   0.60   1.18   1.18   0.80   2.19    3.02    10    
277   212   416   619   0.60   1.64   1.92   1.13   7.71   18.46    75    
278   439   309   689   0.59   2.14   2.53   1.87   5.41   28.61   114    
279   424   303   553   0.59   2.91   1.92   1.95   5.22   34.97   146    
280   358   269   552   0.59   7.31  15.25   7.36  14.40  468.15  1948    
281   497   297   539   0.59   1.18   1.18   1.13   9.68   24.36    93    
282    78   285   652   0.59   0.00   0.00   0.56   4.67    3.06    12    
283   160   356   569   0.59   4.12   5.25   3.66   8.22  156.56   761    
284    78   286   415   0.59   3.90   4.17   3.24   7.69   90.09   416    
285    95   353   406   0.59   1.92   1.62   1.49   2.76   12.27    46    
286   396    72   508   0.59   0.00   0.00   0.56   3.19    2.06     8    
287   101    61   657   0.59   5.33   4.60   4.48   8.96  214.75  1153    
288   141   332   584   0.59   0.00   -NaN   0.56   3.63    2.36     9    
289   207   259   677   0.59   0.89   2.54   1.13   9.88   22.52    93    
290   468   385   597   0.59   0.00   -NaN   0.56   4.87    3.14    12    
291   212   419   618   0.58   0.00   -NaN   0.56   6.45    4.08    16    
292   334    91   390   0.58   -NaN   0.00   0.56   3.19    2.03     8    
293    33   315   509   0.58   4.30   2.93   3.04   6.69   72.62   323    
294   502   181   542   0.58   0.00   0.00   0.56   4.31    2.79    10    
295   204   259   681   0.58   1.01   1.97   1.13  11.54   26.16   111    
296   358   379   657   0.58   2.86   2.96   2.52   7.27   34.74   164    
297   140   354   564   0.58   2.38   3.53   1.78   8.02   44.78   191    
298   511   366   515   0.58   0.00   0.00   0.56   9.69    6.05    24    
299   398   304   550   0.58   5.26  12.60   6.86  10.39  211.25  1064    
300   384   357   643   0.58   4.78   1.62   2.19   4.82   40.15   169    
301   138   313   555   0.58   3.02   0.90   1.38   4.33   11.82    53    
302   517   284   535   0.57   0.00   0.00   0.56   3.27    2.15     8    
303   452   394   588   0.57   -NaN   -NaN   0.56   3.38    2.18     8    
304   183   311   551   0.57   6.11   5.36   3.78   6.32  126.21   620    
305   235    64   674   0.57   2.80   2.38   2.19   6.12   49.20   218    
306   439   299   687   0.57   -NaN   0.00   0.56   5.17    3.20    13    
